"GeneID"	"GeneName"	"Family_Subfamily"	"ProteinClass"	"GO_MF"	"GO_BP"	"GO_CC"
"SORBI_3007G134100"	"Cyanobacterial aminoacyl-tRNA synthetase CAAD domain-containing protein"	"OS08G0430600 PROTEIN (PTHR33222:SF26)"	NA	NA	NA	"chloroplast thylakoid membrane(GO:0009535);thylakoid(GO:0009579);membrane(GO:0016020)"
"SORBI_3010G053700"	"DUF295 domain-containing protein"	"DUF295 DOMAIN-CONTAINING PROTEIN (PTHR33127:SF96)"	NA	NA	NA	NA
"SORBI_3003G084300"	"Surfeit locus protein 5"	"MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 22 (PTHR12434:SF6)"	"general transcription factor(PC00259)"	"transcription coregulator activity(GO:0003712)"	"regulation of transcription by RNA polymerase II(GO:0006357)"	"nucleus(GO:0005634);mediator complex(GO:0016592)"
"SORBI_3005G047300"	"Tubby-like F-box protein"	"TUBBY-LIKE F-BOX PROTEIN (PTHR16517:SF143)"	"scaffold/adaptor protein(PC00226)"	NA	NA	NA
"SORBI_3008G130700"	"Uncharacterized protein"	"EXPRESSED PROTEIN (PTHR34280:SF1)"	NA	NA	NA	NA
"SORBI_3003G160200"	"ABC transporter C family member 14"	"ABC TRANSPORTER C FAMILY MEMBER 4 (PTHR24223:SF362)"	"ATP-binding cassette (ABC) transporter(PC00003)"	"ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ATPase-coupled transmembrane transporter activity(GO:0042626);ABC-type transporter activity(GO:0140359)"	"transmembrane transport(GO:0055085)"	"membrane(GO:0016020)"
"SORBI_3010G143000"	"Secreted protein"	NA	NA	NA	NA	NA
"SORBI_3003G064200"	"Uncharacterized protein"	"OS01G0156000 PROTEIN (PTHR12802:SF97)"	"chromatin/chromatin-binding, or -regulatory protein(PC00077)"	"DNA binding(GO:0003677)"	NA	NA
"SORBI_3001G532100"	"PCI domain-containing protein"	"COP9 SIGNALOSOME COMPLEX SUBUNIT 1 (PTHR14145:SF2)"	NA	NA	"protein deneddylation(GO:0000338);hyperosmotic response(GO:0006972);response to absence of light(GO:0009646);response to salt stress(GO:0009651);embryo development ending in seed dormancy(GO:0009793);protein-containing complex assembly(GO:0065003)"	"nucleus(GO:0005634);cytoplasm(GO:0005737);COP9 signalosome(GO:0008180)"
"SORBI_3008G018900"	"CID domain-containing protein"	"ENTH_VHS FAMILY PROTEIN (PTHR12460:SF28)"	"kinase inhibitor(PC00139)"	"RNA polymerase II complex binding(GO:0000993)"	"mRNA processing(GO:0006397);mRNA 3'-end processing(GO:0031124)"	NA
"SORBI_3009G085200"	"Lactoylglutathione lyase"	"LACTOYLGLUTATHIONE LYASE (PTHR46036:SF5)"	"lyase(PC00144)"	"lactoylglutathione lyase activity(GO:0004462);lyase activity(GO:0016829);metal ion binding(GO:0046872)"	"methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione(GO:0019243)"	"cytoplasm(GO:0005737)"
"SORBI_3010G136450"	"CCHC-type domain-containing protein"	"OS11G0296500 PROTEIN (PTHR23002:SF89)"	"RNA metabolism protein(PC00031)"	"nucleic acid binding(GO:0003676);single-stranded RNA binding(GO:0003727);mRNA binding(GO:0003729);zinc ion binding(GO:0008270);translation regulator activity(GO:0045182)"	"positive regulation of cytoplasmic translation(GO:2000767)"	"cytoplasm(GO:0005737)"
"SORBI_3007G099133"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3003G160433"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3003G164700"	"C2 domain-containing protein"	"OS01G0369500 PROTEIN (PTHR32246:SF67)"	NA	NA	"defense response(GO:0006952)"	NA
"SORBI_3007G101900"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3004G293800"	"Thioesterase domain-containing protein"	"THIOESTERASE DOMAIN-CONTAINING PROTEIN (PTHR31793:SF32)"	"esterase(PC00097)"	"fatty acyl-[ACP] hydrolase activity(GO:0016297)"	NA	"chloroplast(GO:0009507)"
"SORBI_3006G033101"	"Cleavage_polyadenylation specificity factor A subunit C-terminal domain-containing protein"	"CLEAVAGE AND POLYADENYLATION SPECIFICITY FACTOR SUBUNIT 1 (PTHR10644:SF2)"	"RNA processing factor(PC00147)"	"nucleic acid binding(GO:0003676)"	NA	"nucleus(GO:0005634)"
"SORBI_3001G531900"	"F-box domain-containing protein"	"F-BOX DOMAIN-CONTAINING PROTEIN (PTHR39741:SF2)"	NA	NA	NA	NA
"SORBI_3002G123200"	"Uncharacterized protein"	"GEO11084P1 (PTHR12056:SF2)"	"DNA-directed RNA polymerase(PC00019)"	"DNA binding(GO:0003677);DNA-directed 5'-3' RNA polymerase activity(GO:0003899);zinc ion binding(GO:0008270);metal ion binding(GO:0046872)"	"DNA-templated transcription(GO:0006351);transcription by RNA polymerase I(GO:0006360);transcription by RNA polymerase II(GO:0006366);transcription by RNA polymerase III(GO:0006383)"	"nucleus(GO:0005634);RNA polymerase II, core complex(GO:0005665);RNA polymerase III complex(GO:0005666);RNA polymerase I complex(GO:0005736)"
"SORBI_3010G219200"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3009G062900"	"Mediator of RNA polymerase II transcription subunit 33A"	"OS05G0312000 PROTEIN (PTHR33739:SF10)"	NA	NA	"regulation of phenylpropanoid metabolic process(GO:2000762)"	"mediator complex(GO:0016592)"
"SORBI_3008G026600"	"NPH3 domain-containing protein"	"OS12G0117600 PROTEIN (PTHR32370:SF115)"	NA	"metal ion binding(GO:0046872)"	"protein ubiquitination(GO:0016567)"	NA
"SORBI_3010G167900"	"Poly(A) polymerase"	"POLYNUCLEOTIDE ADENYLYLTRANSFERASE (PTHR10682:SF22)"	"mRNA polyadenylation factor(PC00146)"	"RNA binding(GO:0003723);ATP binding(GO:0005524);transferase activity(GO:0016740);metal ion binding(GO:0046872);poly(A) RNA polymerase activity(GO:1990817)"	"mRNA processing(GO:0006397);RNA 3'-end processing(GO:0031123)"	"nucleus(GO:0005634)"
"SORBI_3004G223500"	"Protein kinase domain-containing protein"	"PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR27005:SF231)"	"transmembrane signal receptor(PC00197)"	"protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);calcium ion binding(GO:0005509);ATP binding(GO:0005524);polysaccharide binding(GO:0030247)"	"cell surface receptor signaling pathway(GO:0007166)"	"plasma membrane(GO:0005886);membrane(GO:0016020)"
"SORBI_3001G480800"	"Protein kinase domain-containing protein"	"PROTEIN STRUBBELIG-RECEPTOR FAMILY 7 (PTHR48005:SF39)"	NA	"protein kinase activity(GO:0004672);ATP binding(GO:0005524)"	NA	"membrane(GO:0016020)"
"SORBI_3010G082300"	"Fucosyltransferase"	"FUCOSYLTRANSFERASE (PTHR31889:SF6)"	"transferase(PC00220)"	"galactoside 2-alpha-L-fucosyltransferase activity(GO:0008107);glycosyltransferase activity(GO:0016757)"	"xyloglucan biosynthetic process(GO:0009969);cell wall biogenesis(GO:0042546);cell wall organization(GO:0071555)"	"Golgi apparatus(GO:0005794);membrane(GO:0016020);Golgi cisterna membrane(GO:0032580)"
"SORBI_3003G432900"	"RRM domain-containing protein"	"OS01G0958500 PROTEIN (PTHR11176:SF21)"	"RNA metabolism protein(PC00031)"	"RNA binding(GO:0003723)"	NA	NA
"SORBI_3006G227800"	"NAD-dependent epimerase_dehydratase domain-containing protein"	"NAD-DEPENDENT EPIMERASE_DEHYDRATASE DOMAIN-CONTAINING PROTEIN (PTHR10366:SF608)"	"dehydratase(PC00091)"	"oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616)"	NA	NA
"SORBI_3007G133900"	"TPS3"	"TAU-CADINOL SYNTHASE (PTHR31225:SF186)"	NA	"magnesium ion binding(GO:0000287);terpene synthase activity(GO:0010333);lyase activity(GO:0016829);metal ion binding(GO:0046872)"	"diterpenoid biosynthetic process(GO:0016102)"	NA
"SORBI_3007G126150"	"Ovule protein"	NA	NA	NA	NA	NA
"SORBI_3001G020900"	"J domain-containing protein"	"OS03G0837400 PROTEIN (PTHR44137:SF16)"	NA	NA	NA	"endoplasmic reticulum(GO:0005783)"
"SORBI_3002G121100"	"Carboxypeptidase"	"CARBOXYPEPTIDASE (PTHR11802:SF508)"	"serine protease(PC00203)"	"carboxypeptidase activity(GO:0004180);serine-type carboxypeptidase activity(GO:0004185);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)"	"proteolysis(GO:0006508);secondary metabolic process(GO:0019748)"	NA
"SORBI_3009G011100"	"Uncharacterized protein"	"SUBFAMILY NOT NAMED (PTHR31636:SF165)"	NA	"DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565)"	"regulation of DNA-templated transcription(GO:0006355)"	"nucleus(GO:0005634)"
"SORBI_3001G520200"	"Glycosylphosphatidylinositol anchor biosynthesis protein 11"	"PHOSPHATIDYLINOSITOL-GLYCAN BIOSYNTHESIS CLASS F PROTEIN (PTHR43157:SF31)"	"glycosyltransferase(PC00111)"	NA	"GPI anchor biosynthetic process(GO:0006506)"	"endoplasmic reticulum(GO:0005783);endoplasmic reticulum membrane(GO:0005789);membrane(GO:0016020)"
"SORBI_3008G156800"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3001G534000"	"Kinesin motor domain-containing protein"	"KINESIN-LIKE PROTEIN KIN-14R (PTHR47972:SF18)"	"microtubule binding motor protein(PC00156)"	"cytoskeletal motor activity(GO:0003774);microtubule motor activity(GO:0003777);ATP binding(GO:0005524);microtubule binding(GO:0008017)"	"microtubule-based process(GO:0007017);microtubule-based movement(GO:0007018)"	"microtubule(GO:0005874);microtubule cytoskeleton(GO:0015630)"
"SORBI_3001G522600"	"CW-type domain-containing protein"	"OS04G0425100 PROTEIN (PTHR10615:SF172)"	"histone modifying enzyme(PC00261)"	"chromatin binding(GO:0003682);transcription coregulator activity(GO:0003712);histone acetyltransferase activity(GO:0004402);zinc ion binding(GO:0008270)"	"chromatin remodeling(GO:0006338);regulation of transcription by RNA polymerase II(GO:0006357)"	"chromatin(GO:0000785);nucleus(GO:0005634)"
"SORBI_3001G025900"	"Cell division control protein 24 OB domain-containing protein"	"NUCLEIC ACID-BINDING PROTEINS SUPERFAMILY (PTHR36033:SF1)"	NA	NA	NA	NA
"SORBI_3005G036600"	"IQ domain-containing protein IQM3"	"IQ DOMAIN-CONTAINING PROTEIN IQM3 (PTHR31250:SF45)"	NA	NA	NA	"nucleus(GO:0005634);cytoplasm(GO:0005737)"
"SORBI_3003G225300"	"Protein ABIL1"	"ABELSON INTERACTING PROTEIN, ISOFORM D (PTHR10460:SF0)"	"scaffold/adaptor protein(PC00226)"	NA	NA	NA
"SORBI_3004G002700"	"Pectinesterase inhibitor domain-containing protein"	"OS02G0103200 PROTEIN (PTHR31080:SF284)"	NA	"enzyme inhibitor activity(GO:0004857)"	"plant-type cell wall modification(GO:0009827)"	"plant-type cell wall(GO:0009505)"
"SORBI_3006G049450"	"CCHC-type domain-containing protein"	"OS11G0296500 PROTEIN (PTHR23002:SF89)"	"RNA metabolism protein(PC00031)"	"nucleic acid binding(GO:0003676);single-stranded RNA binding(GO:0003727);mRNA binding(GO:0003729);zinc ion binding(GO:0008270);translation regulator activity(GO:0045182)"	"positive regulation of cytoplasmic translation(GO:2000767)"	"cytoplasm(GO:0005737)"
"SORBI_3006G214300"	"Uncharacterized protein"	"EARLY ENDOSOME ANTIGEN (PTHR43049:SF1)"	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3001G275950"	"CCHC-type domain-containing protein"	"OS11G0296500 PROTEIN (PTHR23002:SF89)"	"RNA metabolism protein(PC00031)"	"nucleic acid binding(GO:0003676);single-stranded RNA binding(GO:0003727);mRNA binding(GO:0003729);zinc ion binding(GO:0008270);translation regulator activity(GO:0045182)"	"positive regulation of cytoplasmic translation(GO:2000767)"	"cytoplasm(GO:0005737)"
"SORBI_3010G138200"	"DFDF domain-containing protein"	"TRAILER HITCH, ISOFORM H (PTHR13586:SF0)"	"RNA metabolism protein(PC00031)"	"RNA binding(GO:0003723);mRNA binding(GO:0003729)"	"P-body assembly(GO:0033962);stress granule assembly(GO:0034063)"	"P-body(GO:0000932)"
"SORBI_3005G018900"	"Phosphoinositide phospholipase C"	"PHOSPHOINOSITIDE PHOSPHOLIPASE C (PTHR10336:SF206)"	"phospholipase(PC00186)"	"phosphatidylinositol phospholipase C activity(GO:0004435);hydrolase activity(GO:0016787)"	"lipid metabolic process(GO:0006629);signal transduction(GO:0007165);lipid catabolic process(GO:0016042);intracellular signal transduction(GO:0035556);phosphatidylinositol-mediated signaling(GO:0048015);release of sequestered calcium ion into cytosol(GO:0051209)"	"plasma membrane(GO:0005886)"
"SORBI_3002G066100"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3003G372900"	"Deoxynucleoside kinase domain-containing protein"	"OS01G0874100 PROTEIN (PTHR10513:SF43)"	"nucleotide kinase(PC00172)"	"deoxynucleoside kinase activity(GO:0019136)"	"deoxyribonucleoside monophosphate biosynthetic process(GO:0009157)"	"cytoplasm(GO:0005737)"
"SORBI_3001G087500"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3010G132000"	"Pollen-specific arabinogalacta protein BAN102"	"POLLEN-SPECIFIC ARABINOGALACTA PROTEIN BAN102 (PTHR34672:SF17)"	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3010G061300"	"Protein kinase domain-containing protein"	"OS01G0694000 PROTEIN (PTHR27008:SF502)"	NA	"protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301)"	NA	"membrane(GO:0016020)"
"SORBI_3004G359700"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3010G144000"	"Clathrin_coatomer adaptor adaptin-like N-terminal domain-containing protein"	"AP-3 COMPLEX SUBUNIT DELTA-1 (PTHR22781:SF12)"	"transporter(PC00227)"	NA	"protein targeting to vacuole(GO:0006623);intracellular protein transport(GO:0006886);Golgi to vacuole transport(GO:0006896);protein transport(GO:0015031);vesicle-mediated transport(GO:0016192)"	"cytoplasm(GO:0005737);endosome membrane(GO:0010008);endomembrane system(GO:0012505);membrane coat(GO:0030117);AP-3 adaptor complex(GO:0030123)"
"SORBI_3007G049200"	"DUF569 domain-containing protein"	"DUF569 DOMAIN-CONTAINING PROTEIN (PTHR31205:SF36)"	NA	NA	NA	NA
"SORBI_3005G131800"	"DNA-directed RNA polymerase subunit"	"DNA-DIRECTED RNA POLYMERASE II SUBUNIT RPB1 (PTHR19376:SF37)"	"DNA-directed RNA polymerase(PC00019)"	"DNA binding(GO:0003677);DNA-directed 5'-3' RNA polymerase activity(GO:0003899);nucleotidyltransferase activity(GO:0016779);5'-3' RNA polymerase activity(GO:0034062);metal ion binding(GO:0046872)"	"transcription by RNA polymerase IV(GO:0001059);transcription by RNA polymerase V(GO:0001060);DNA-templated transcription(GO:0006351);transcription by RNA polymerase I(GO:0006360);transcription by RNA polymerase II(GO:0006366);transcription by RNA polymerase III(GO:0006383);mitochondrial transcription(GO:0006390);plastid transcription(GO:0042793)"	"DNA-directed RNA polymerase complex(GO:0000428);nucleus(GO:0005634);RNA polymerase II, core complex(GO:0005665);mitochondrion(GO:0005739);plastid(GO:0009536)"
"SORBI_3005G061500"	"Protein kinase domain-containing protein"	"RECEPTOR-LIKE SERINE_THREONINE-PROTEIN KINASE SD1-6 (PTHR47975:SF18)"	NA	"protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301)"	"positive regulation of growth(GO:0045927)"	NA
"SORBI_3005G039200"	"Uncharacterized protein"	"OS06G0304700 PROTEIN (PTHR34630:SF17)"	NA	NA	NA	NA
"SORBI_3009G063000"	"Secreted protein"	"OS08G0232201 PROTEIN (PTHR48179:SF1)"	NA	NA	NA	NA
"SORBI_3006G207300"	"DNA ligase"	"DNA LIGASE 4 (PTHR45997:SF1)"	"DNA metabolism protein(PC00009)"	"DNA binding(GO:0003677);DNA ligase (ATP) activity(GO:0003910);ATP binding(GO:0005524);ligase activity(GO:0016874)"	"DNA repair(GO:0006281);nucleotide-excision repair, DNA gap filling(GO:0006297);double-strand break repair(GO:0006302);double-strand break repair via nonhomologous end joining(GO:0006303);DNA recombination(GO:0006310);DNA damage response(GO:0006974);response to X-ray(GO:0010165);DNA biosynthetic process(GO:0071897)"	"nucleus(GO:0005634);DNA ligase IV complex(GO:0032807)"
"SORBI_3001G037700"	"F-box associated domain-containing protein (Fragment)"	"OS08G0474400 PROTEIN (PTHR47993:SF143)"	NA	NA	NA	NA
"SORBI_3005G139750"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3010G138900"	"CMP_dCMP-type deaminase domain-containing protein"	"TRNA(ADENINE(34)) DEAMINASE, CHLOROPLASTIC (PTHR11079:SF179)"	"deaminase(PC00088)"	"tRNA-specific adenosine deaminase activity(GO:0008251);tRNA-specific adenosine-34 deaminase activity(GO:0052717)"	"tRNA wobble adenosine to inosine editing(GO:0002100);tRNA processing(GO:0008033)"	"chloroplast(GO:0009507)"
"SORBI_3007G126100"	"Uncharacterized protein"	"ALPHA,ALPHA-TREHALOSE-PHOSPHATE SYNTHASE [UDP-FORMING] 9-RELATED (PTHR10788:SF14)"	NA	"catalytic activity(GO:0003824)"	"trehalose metabolic process(GO:0005991);trehalose biosynthetic process(GO:0005992)"	NA
"SORBI_3010G138000"	"Photolyase_cryptochrome alpha_beta domain-containing protein"	"SI:CH1073-390K14.1 (PTHR11455:SF18)"	"DNA photolyase(PC00014)"	"DNA binding(GO:0003677);deoxyribodipyrimidine photo-lyase activity(GO:0003904);ATP binding(GO:0005524);blue light photoreceptor activity(GO:0009882);identical protein binding(GO:0042802);protein homodimerization activity(GO:0042803);FAD binding(GO:0071949)"	"nucleobase-containing compound metabolic process(GO:0006139);chromatin organization(GO:0006325);chromatin remodeling(GO:0006338);response to stress(GO:0006950);circadian rhythm(GO:0007623);response to water deprivation(GO:0009414);response to light stimulus(GO:0009416);response to blue light(GO:0009637);phototropism(GO:0009638);response to absence of light(GO:0009646);blue light signaling pathway(GO:0009785);regulation of flower development(GO:0009909);positive regulation of flower development(GO:0009911);regulation of meristem growth(GO:0010075);stomatal movement(GO:0010118);response to low fluence blue light stimulus by blue low-fluence system(GO:0010244);circadian regulation of calcium ion oscillation(GO:0010617);circadian regulation of gene expression(GO:0032922);regulation of circadian rhythm(GO:0042752);entrainment of circadian clock by photoperiod(GO:0043153);long-day photoperiodism, flowering(GO:0048574);defense response to virus(GO:0051607);flavin adenine dinucleotide metabolic process(GO:0072387);regulation of leaf morphogenesis(GO:1901371);response to strigolactone(GO:1902347);regulation of photoperiodism, flowering(GO:2000028);positive regulation of reactive oxygen species metabolic process(GO:2000379)"	"nucleus(GO:0005634);cytoplasm(GO:0005737);nuclear body(GO:0016604)"
"SORBI_3003G152100"	"Peroxidase"	"PEROXIDASE (PTHR31235:SF71)"	"peroxidase(PC00180)"	"peroxidase activity(GO:0004601);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825)"	"response to stress(GO:0006950);response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869)"	"extracellular region(GO:0005576);plant-type cell wall(GO:0009505)"
"SORBI_3008G147000"	"Protein kinase domain-containing protein"	"SERINE_THREONINE-PROTEIN KINASE SAPK9 (PTHR24343:SF326)"	"non-receptor serine/threonine protein kinase(PC00167)"	"protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)"	NA	"nucleus(GO:0005634)"
"SORBI_3001G181900"	"BTB domain-containing protein"	"SPECKLE-TYPE POZ PROTEIN (PTHR26379:SF274)"	NA	"metal ion binding(GO:0046872)"	"protein ubiquitination(GO:0016567)"	NA
"SORBI_3010G090550"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3010G151450"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3009G209400"	"NADH:ubiquinone oxidoreductase-like 20kDa subunit domain-containing protein"	"NADH DEHYDROGENASE [UBIQUINONE] IRON-SULFUR PROTEIN 7, MITOCHONDRIAL (PTHR11995:SF14)"	"dehydrogenase(PC00092)"	"NADH dehydrogenase (ubiquinone) activity(GO:0008137);metal ion binding(GO:0046872);quinone binding(GO:0048038);4 iron, 4 sulfur cluster binding(GO:0051539)"	"aerobic respiration(GO:0009060);electron transport coupled proton transport(GO:0015990);mitochondrial respiratory chain complex I assembly(GO:0032981)"	"mitochondrion(GO:0005739);respiratory chain complex I(GO:0045271)"
"SORBI_3010G155300"	"VQ domain-containing protein"	"OS06G0530600 PROTEIN (PTHR34777:SF3)"	NA	NA	NA	NA
"SORBI_3002G068400"	"Glycine-rich protein"	NA	NA	NA	NA	NA
"SORBI_3010G169000"	"Uncharacterized protein"	"ABC TRANSPORTER C FAMILY MEMBER 8 (PTHR24223:SF108)"	"ATP-binding cassette (ABC) transporter(PC00003)"	"ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ATPase-coupled transmembrane transporter activity(GO:0042626);ABC-type transporter activity(GO:0140359)"	"transmembrane transport(GO:0055085)"	"membrane(GO:0016020)"
"SORBI_3003G083100"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3008G018800"	"Non-structural maintenance of chromosomes element 1 homolog"	"NON-STRUCTURAL MAINTENANCE OF CHROMOSOMES ELEMENT 1 HOMOLOG (PTHR20973:SF0)"	NA	"ubiquitin-protein transferase activity(GO:0004842);zinc ion binding(GO:0008270);transferase activity(GO:0016740);metal ion binding(GO:0046872)"	"double-strand break repair via homologous recombination(GO:0000724);DNA repair(GO:0006281);DNA recombination(GO:0006310)"	"nucleus(GO:0005634);Smc5-Smc6 complex(GO:0030915)"
"SORBI_3001G401975"	"Wound-induced protein 1"	"OS03G0299600 PROTEIN (PTHR33703:SF13)"	NA	NA	NA	NA
"SORBI_3006G214101"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3007G202360"	"Uncharacterized protein"	NA	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3009G069400"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3010G110266"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3004G344000"	"Haloacid dehalogenase-like hydrolase domain-containing protein"	"SUPERFAMILY HYDROLASE, PUTATIVE (AFU_ORTHOLOGUE AFUA_4G13290)-RELATED (PTHR43885:SF1)"	"hydrolase(PC00121)"	NA	NA	NA
"SORBI_3001G152600"	"Protein kinase domain-containing protein"	"PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR24056:SF562)"	"non-receptor serine/threonine protein kinase(PC00167)"	"protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)"	NA	"nucleus(GO:0005634)"
"SORBI_3003G086600"	"LOB domain-containing protein"	"OS01G0129600 PROTEIN (PTHR31304:SF10)"	NA	NA	"regulation of gene expression(GO:0010468)"	NA
"SORBI_3009G208500"	"Uncharacterized protein"	"OS05G0531100 PROTEIN (PTHR33083:SF19)"	NA	NA	"leaf senescence(GO:0010150)"	NA
"SORBI_3010G082400"	"Fucosyltransferase"	"FUCOSYLTRANSFERASE (PTHR31889:SF9)"	"transferase(PC00220)"	"galactoside 2-alpha-L-fucosyltransferase activity(GO:0008107);glycosyltransferase activity(GO:0016757)"	"xyloglucan biosynthetic process(GO:0009969);cell wall biogenesis(GO:0042546);cell wall organization(GO:0071555)"	"Golgi apparatus(GO:0005794);membrane(GO:0016020);Golgi cisterna membrane(GO:0032580)"
"SORBI_3010G217700"	"ENTH domain-containing protein"	"OS06G0661400 PROTEIN (PTHR22951:SF21)"	"vesicle coat protein(PC00235)"	"SNARE binding(GO:0000149);1-phosphatidylinositol binding(GO:0005545);phosphatidylinositol-4,5-bisphosphate binding(GO:0005546);clathrin binding(GO:0030276);clathrin heavy chain binding(GO:0032050)"	"endocytosis(GO:0006897);vesicle budding from membrane(GO:0006900);clathrin coat assembly(GO:0048268);clathrin-dependent endocytosis(GO:0072583)"	"Golgi apparatus(GO:0005794);clathrin-coated pit(GO:0005905);clathrin-coated vesicle(GO:0030136);cytoplasmic vesicle(GO:0031410)"
"SORBI_3002G039301"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3008G018600"	"Late embryogenesis abundant protein LEA-2 subgroup domain-containing protein"	"HARPIN-INDUCED PROTEIN 1 CONTAINING PROTEIN, EXPRESSED (PTHR31852:SF236)"	NA	NA	"defense response to other organism(GO:0098542)"	"membrane(GO:0016020)"
